"","SHOW","SEASON","show_season","Lead","LeadFullName","LeadHometown","LeadHomeState","LeadRace","AgeLead","CONTESTANTID","FullName","AgeCon","Occupation","Hometown","HomeState","EliminationWeek","seasontotalweeks","firstimpressionrose","firstweekdates","Winner","BLACK"
"1","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_ALEXA_X","Alexa",27,"Special Ed. Teacher","Beverly Hills, California","California","2",6,"No First Impression Rose Given","D5",0,0
"2","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_AMANDA_M","Amanda Marsh",23,"Event Planner","Chanute, Kansas","Kansas","winner",6,"No First Impression Rose Given","D5",1,0
"3","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_AMBER_X","Amber",29,"Business Development Director","Los Angeles, California","California","1",6,"No First Impression Rose Given","No Date",0,0
"4","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_AMY_X","Amy",28,"Production Coordinator","New York, New York","NewYork","2",6,"No First Impression Rose Given","D5",0,0
"5","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_ANGELA_X","Angela",25,"Hooters Waitress","Avondale, Arizona","Arizona","2",6,"No First Impression Rose Given","D5",0,0
"6","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_ANGELIQUE_X","Angelique",27,"Actress","Burbank, California","California","2",6,"No First Impression Rose Given","D5",0,0
"7","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_CATHY_G","Cathy Grimes",22,"Graduate Student","Terra Haute, Indiana","Indiana","3",6,"No First Impression Rose Given","D5",0,0
"8","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_CHRISTINA_X","Christina",28,"Attorney","Bonita, California","California","3",6,"No First Impression Rose Given","D5",0,0
"9","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_DANIELA_X","Daniela",30,"Neuropsychologist","Seattle, Washington","Washington","1",6,"No First Impression Rose Given","No Date",0,0
"10","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_DENISE_X","Denise",30,"Doctor","Honolulu, Hawaii","Hawaii","1",6,"No First Impression Rose Given","No Date",0,0
"11","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_JACKIE_X","Jackie",22,"Bar Manager","Pittsburgh, Pennsylvania","Pennsylvania","1",6,"No First Impression Rose Given","No Date",0,0
"12","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_JILL_X","Jill",31,"Retail Manager","Chicago, Illinois","Illinois","1",6,"No First Impression Rose Given","No Date",0,0
"13","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_KATIE_X","Katie",23,"Power Tool Sales Rep.","Malden, Massachusetts","Massachusetts","2",6,"No First Impression Rose Given","D5",0,0
"14","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_KIM_X","Kim",24,"Nanny","Tempe, Arizona","Arizona","4",6,"No First Impression Rose Given","D5",0,0
"15","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_KRISTINA_X","Kristina",27,"Advertising Executive","Los Angeles, California","California","1",6,"No First Impression Rose Given","No Date",0,1
"16","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_LANEASE_A","LaNease Adams",23,"Actress","Los Angeles, California","California","3",6,"No First Impression Rose Given","D5",0,1
"17","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_LISA_X","Lisa",29,"Attorney","Dallas, Texas","Texas","1",6,"No First Impression Rose Given","No Date",0,0
"18","Bachelor",1,"Bachelor-1","Alex","Alex Michel","Charlottesville, Virginia","Virginia","White",31,"01_MELISSA_X","Melissa",25,"Photographer","Tempe, Arizona","Arizona","2",6,"No First Impression Rose Given","D5",0,0
